,Year,Smoke_Estimate,Mean_Acres,Mean_Distance
0,1963,11.92911535512214,773.4230174947668,919.4832857174474
1,1964,15.7236713416511,880.4973791012295,869.5068796426465
2,1965,6.373046218696041,250.82010581923834,1019.919883619923
3,1966,22.267460993579462,1351.2639558527417,955.4312852640304
4,1967,16.063491185310664,1128.8697303771696,1031.4604520768569
5,1968,10.417888210067545,729.799223511963,1061.9604629332441
6,1969,10.32967425701327,691.8916333405408,1025.2198191191112
7,1970,22.939860034010177,1628.5300612809763,870.8966302528738
8,1971,23.67227011663267,1325.5259880955912,811.3907479825921
9,1972,21.366842653555054,815.347191658329,930.4565069125265
10,1973,18.72639895692193,1265.0336217576203,988.4086127043379
11,1974,11.230655428327932,649.9974847322494,890.3079909121824
12,1975,10.871741244526712,729.9975865523406,917.29671208512
13,1976,10.114465063224236,593.5532705173846,851.0959207326421
14,1977,6.7712521917529624,368.3661063084238,904.7871632875609
15,1978,4.886949068222248,311.3723411810442,908.2131843025237
16,1979,15.830392436934812,1029.7570552995546,946.2542406470202
17,1980,14.325884763373152,928.7903589173559,940.9652924828094
18,1981,22.13107088953096,1390.2800204497867,976.3069190367601
19,1982,11.469007618066623,758.8960991863646,936.5325670881556
20,1983,21.07067162679807,1328.2437197296688,967.3411188535597
21,1984,22.933584678131375,1484.4068148885476,987.1428119056081
22,1985,36.94818897698601,2421.952225532436,974.40776477256
23,1986,26.480178014801115,1592.5026870561092,940.8413978583244
24,1987,32.04554333479688,1565.371400189206,864.4661719076861
25,1988,70.048354939974,2884.345949702654,904.4229440685373
26,1989,35.60809063754277,1549.9747045720949,902.6758424169143
27,1990,22.94774970799309,1184.5649401644523,939.8576520837154
28,1991,43.31701815628209,1488.5376289100416,908.4974652860682
29,1992,23.405846575592026,1313.8184498979253,972.8475275108981
30,1993,34.58930404900046,1339.261332420328,904.4336372757036
31,1994,49.30121450540232,2014.6680948265696,889.6270722941827
32,1995,28.19289367886795,1151.6711433497903,815.5222768350162
33,1996,118.53076378315495,2972.992073861672,883.2147688334485
34,1997,16.854941925815982,769.5290715245753,949.6068108282115
35,1998,37.25838233596364,1293.984212848797,880.9919834971955
36,1999,39.232255973264735,2328.5514949523213,902.4183972061855
37,2000,54.99001805669676,2507.220602892485,853.5782948819907
38,2001,33.92107930685774,1546.7653181320975,902.4412855262913
39,2002,68.12076688579924,2271.8391372771644,805.6923838776652
40,2003,55.87616974306134,2015.5701707845735,822.5620569964045
41,2004,36.63571641423817,1185.5224683432218,842.916220137712
42,2005,50.28520150711992,2183.662916065571,825.2092506948591
43,2006,70.09020713117091,2613.7144121712104,824.6637003311865
44,2007,81.4030590105387,2771.3454536977506,833.6703423974878
45,2008,45.1033155138125,1583.7027093150245,798.6755295877913
46,2009,86.75315049779834,1842.1555132879466,772.7135311785192
47,2010,28.17831816450472,1118.6904965628275,774.8776525457972
48,2011,148.50719611212068,2173.649834310394,643.877293398761
49,2012,65.15881783893452,2614.9544008350767,769.3343734146423
50,2013,35.0729591725002,1407.2006047686198,811.9801041160387
51,2014,177.51311795179996,1633.0907183693298,735.6838885877061
52,2015,135.4045475015115,1532.8636315894482,754.4840661534727
53,2016,169.4966905328597,1628.185659864587,716.0599832761475
54,2017,180.74220827885804,2442.8664333300944,756.6128842197334
55,2018,90.93845457792591,1859.7935117683478,753.5871623790562
56,2019,19.926324148675498,818.2023013118602,790.0632691960941
57,2020,27.98817532511623,1304.2932161897954,782.0758851721655
